# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	Total
2.159e-03	2.5436162e+03	2.8508814e-10	4.6668180e-23	6.9213172e-36	1.3827598e-48	4.9523578e-61	4.1740136e-73	1.1563072e-84	1.5561968e-95	1.5652143e-105	1.8111059e-114	3.5672198e-122	1.5435631e-128	1.6010770e-133	3.5739761e-137	4.6632753e-140	1.6121780e-141	1.9312005e-142	4.3951137e-143	2.5436162e+03
2.273e-03	2.5150366e+03	2.7896972e-10	4.5316409e-23	6.6825702e-36	1.3296662e-48	4.7488690e-61	3.9948473e-73	1.1052376e-84	1.4861617e-95	1.4938896e-105	1.7233056e-114	3.3943906e-122	1.4688065e-128	1.5272395e-133	3.4089036e-137	4.4390082e-140	1.5382364e-141	1.8434613e-142	4.1954233e-143	2.5150366e+03
2.392e-03	2.3892665e+03	2.6509853e-10	4.3074624e-23	6.3535230e-36	1.2644626e-48	4.5168182e-61	3.8002184e-73	1.0515195e-84	1.4140644e-95	1.4215181e-105	1.6442638e-114	3.2378520e-122	1.4008294e-128	1.4564007e-133	3.2441454e-137	4.2341481e-140	1.4638961e-141	1.7590513e-142	4.0033117e-143	2.3892665e+03
2.518e-03	2.3605133e+03	2.5916132e-10	4.1786432e-23	6.1288810e-36	1.2149718e-48	4.3284554e-61	3.6352248e-73	1.0046679e-84	1.3499906e-95	1.3563933e-105	1.5683865e-114	3.0877250e-122	1.3332260e-128	1.3861317e-133	3.0937598e-137	4.0367156e-140	1.3964455e-141	1.6741965e-142	3.8101964e-143	2.3605133e+03
2.651e-03	2.3302938e+03	2.5311977e-10	4.0498028e-23	5.9069542e-36	1.1665221e-48	4.1452930e-61	3.4755787e-73	9.5949786e-85	1.2847191e-95	1.2909136e-105	1.4927552e-114	2.9389340e-122	1.2713429e-128	1.3216691e-133	2.9447972e-137	3.8432945e-140	1.3317124e-141	1.5971998e-142	3.6349580e-143	2.3302938e+03
2.791e-03	2.2137661e+03	2.4054646e-10	3.8498332e-23	5.6168678e-36	1.1095099e-48	3.9435340e-61	3.3070012e-73	9.1308952e-85	1.2261975e-95	1.2315407e-105	1.4236679e-114	2.8023604e-122	1.2121075e-128	1.2599869e-133	2.8079819e-137	3.6645964e-140	1.2677791e-141	1.5233685e-142	3.4603111e-143	2.2137661e+03
2.937e-03	2.1837924e+03	2.3473104e-10	3.7278504e-23	5.4092340e-36	1.0645748e-48	3.7747435e-61	3.1605668e-73	8.7179663e-85	1.1700068e-95	1.1746296e-105	1.3575232e-114	2.6717079e-122	1.1539668e-128	1.1995664e-133	2.6770970e-137	3.4930712e-140	1.2089494e-141	1.4503343e-142	3.3007119e-143	2.1837924e+03
3.092e-03	2.1526732e+03	2.2885653e-10	3.6065769e-23	5.2051848e-36	1.0207893e-48	3.6112867e-61	3.0193911e-73	8.3211302e-85	1.1161269e-95	1.1182656e-105	1.2924662e-114	2.5437784e-122	1.1001710e-128	1.1435672e-133	2.5490298e-137	3.3265513e-140	1.1511210e-141	1.3831831e-142	3.1478828e-143	2.1526732e+03
3.255e-03	2.0450316e+03	2.1750172e-10	3.4288802e-23	4.9503537e-36	9.7109483e-49	3.4363302e-61	2.8737030e-73	7.9209491e-85	1.0625876e-95	1.0665148e-105	1.2323831e-114	2.4251844e-122	1.0487851e-128	1.0900924e-133	2.4302279e-137	3.1714236e-140	1.0976765e-141	1.3189567e-142	2.9976722e-143	2.0450316e+03
3.426e-03	2.0144922e+03	2.1188466e-10	3.3146973e-23	4.7603746e-36	9.3065991e-49	3.2862672e-61	2.7446378e-73	7.5592248e-85	1.0135761e-95	1.0170228e-105	1.1749789e-114	2.3119519e-122	9.9883674e-129	1.0381933e-133	2.3168019e-137	3.0229740e-140	1.0466119e-141	1.2561785e-142	2.8588395e-143	2.0144922e+03
3.607e-03	1.9830805e+03	2.0624502e-10	3.2017614e-23	4.5745198e-36	8.9141624e-49	3.1414501e-61	2.6205812e-73	7.2125033e-85	9.6668722e-96	9.6973627e-106	1.1190800e-114	2.2020707e-122	9.5225645e-129	9.8973231e-134	2.2085578e-137	2.8798131e-140	9.9747490e-142	1.1978950e-142	2.7261938e-143	1.9830805e+03
3.797e-03	1.8839237e+03	1.9602606e-10	3.0444118e-23	4.3513766e-36	8.4821888e-49	2.9900795e-61	2.4949083e-73	6.8679533e-85	9.2064646e-96	9.2365387e-106	1.0670334e-114	2.0994662e-122	9.0783437e-129	9.4352755e-134	2.1040389e-137	2.7456452e-140	9.5063164e-142	1.1422593e-142	2.5971498e-143	1.8839237e+03
3.996e-03	1.8533518e+03	1.9066384e-10	2.9385884e-23	4.1790677e-36	8.1211204e-49	2.8575533e-61	2.3818048e-73	6.5526562e-85	8.7808193e-96	8.8077921e-106	1.0173876e-114	2.0016464e-122	8.6549805e-129	8.9898482e-134	2.0060657e-137	2.6175429e-140	9.0647126e-142	1.0883521e-142	2.4768919e-143	1.8533518e+03
4.207e-03	1.8221388e+03	1.8530791e-10	2.8343880e-23	4.0111627e-36	7.7718890e-49	2.7300347e-61	2.2733609e-73	6.2510747e-85	8.3743475e-96	8.3988005e-106	9.7006327e-115	1.9084441e-122	8.2475107e-129	8.5717036e-134	1.9127248e-137	2.4945989e-140	8.6436724e-142	1.0379526e-142	2.3621901e-143	1.8221388e+03
