# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	Total
3.448e-02	6.1931361e+02	3.8428005e-11	4.9041193e-24	6.6209619e-37	1.2901926e-49	4.6401258e-62	3.9709156e-74	1.1198378e-85	1.5320555e-96	1.5615501e-106	1.8245654e-115	3.6171675e-123	1.5713396e-129	1.6372960e-134	3.6581655e-138	4.7767072e-141	1.6554142e-142	1.9892287e-143	4.5271695e-144	6.1931361e+02
3.630e-02	5.9996494e+02	3.6832166e-11	4.7034644e-24	6.3693268e-37	1.2449823e-49	4.4896494e-62	3.8508765e-74	1.0879866e-85	1.4906158e-96	1.5209333e-106	1.7784403e-115	3.5274646e-123	1.5328331e-129	1.5974412e-134	3.5694191e-138	4.6610342e-141	1.6153466e-142	1.9410911e-143	4.4176199e-144	5.9996494e+02
3.821e-02	5.8110062e+02	3.5304377e-11	4.5128234e-24	6.1311597e-37	1.2023337e-49	4.3482149e-62	3.7384910e-74	1.0582827e-85	1.4521096e-96	1.4833076e-106	1.7358133e-115	3.4447035e-123	1.4973443e-129	1.5607323e-134	3.4877031e-138	4.5545426e-141	1.5784609e-142	1.8967771e-143	4.3167724e-144	5.8110062e+02
4.022e-02	5.7337421e+02	3.3957950e-11	4.3338521e-24	5.9062344e-37	1.1621503e-49	4.2154863e-62	3.6335008e-74	1.0306617e-85	1.4164580e-96	1.4485999e-106	1.6966058e-115	3.3687367e-123	1.4648117e-129	1.5271063e-134	3.4128785e-138	4.4570516e-141	1.5446947e-142	1.8562118e-143	4.2244564e-144	5.7337421e+02
4.234e-02	5.5501037e+02	3.2548789e-11	4.1616851e-24	5.6931942e-37	1.1243110e-49	4.0911355e-62	3.5356695e-74	1.0050659e-85	1.3835926e-96	1.4167487e-106	1.6607527e-115	3.2994446e-123	1.4351856e-129	1.4965131e-134	3.3448349e-138	4.3684186e-141	1.5139986e-142	1.8193358e-143	4.1405366e-144	5.5501037e+02
4.457e-02	5.3713273e+02	3.1201986e-11	3.9983375e-24	5.4919525e-37	1.0887354e-49	3.9748811e-62	3.4447876e-74	9.8144556e-86	1.3534557e-96	1.3877040e-106	1.6282031e-115	3.2367363e-123	1.4084293e-129	1.4689161e-134	3.2834921e-138	4.2885398e-141	1.4863369e-142	1.7861063e-143	4.0649157e-144	5.3713273e+02
4.691e-02	5.2915681e+02	2.9996571e-11	3.8446109e-24	5.3021783e-37	1.0553414e-49	3.8664623e-62	3.3606696e-74	9.5975818e-86	1.3260011e-96	1.3614280e-106	1.5989208e-115	3.1805512e-123	1.3845195e-129	1.4442926e-134	3.2288017e-138	4.2173536e-141	1.4616882e-142	1.7564977e-143	3.9975355e-144	5.2915681e+02
4.938e-02	5.1182632e+02	2.8760082e-11	3.6976035e-24	5.1230306e-37	1.0240411e-49	3.7656383e-62	3.2831543e-74	9.3996919e-86	1.3011940e-96	1.3378955e-106	1.5728856e-115	3.1308611e-123	1.3634472e-129	1.4226351e-134	3.1807490e-138	4.1548423e-141	1.4400466e-142	1.7305029e-143	3.9383801e-144	5.1182632e+02
5.198e-02	4.9497710e+02	2.7580144e-11	3.5583432e-24	4.9542750e-37	9.9476611e-50	3.6722018e-62	3.2121070e-74	9.2205220e-86	1.2790122e-96	1.3170953e-106	1.5500938e-115	3.0876722e-123	1.3452187e-129	1.4039526e-134	3.1393561e-138	4.1010364e-141	1.4214229e-142	1.7081349e-143	3.8874789e-144	4.9497710e+02
5.472e-02	4.8691507e+02	2.6511001e-11	3.4271523e-24	4.7955741e-37	9.6745146e-50	3.5859699e-62	3.1474191e-74	9.0598937e-86	1.2594463e-96	1.2990303e-106	1.5305601e-115	3.0510281e-123	1.3298570e-129	1.3882711e-134	3.1046846e-138	4.0560181e-141	1.4058456e-142	1.6894283e-143	3.8449105e-144	4.8691507e+02
5.760e-02	4.7064329e+02	2.5432272e-11	3.3023022e-24	4.6463768e-37	9.4203396e-50	3.5067859e-62	3.0890101e-74	8.9177194e-86	1.2425013e-96	1.2837194e-106	1.5143186e-115	3.0210134e-123	1.3174033e-129	1.3756365e-134	3.0768393e-138	4.0199266e-141	1.3933633e-142	1.6744413e-143	3.8108076e-144	4.7064329e+02
6.064e-02	4.6249998e+02	2.4447323e-11	3.1846785e-24	4.5064609e-37	9.1846252e-50	3.4345235e-62	3.0368286e-74	8.7940088e-86	1.2281971e-96	1.2711986e-106	1.5014252e-115	2.9977574e-123	1.3079190e-129	1.3661156e-134	3.0559734e-138	3.9929641e-141	1.3840462e-142	1.6632585e-143	3.7853628e-144	4.6249998e+02
6.383e-02	4.4682680e+02	2.3463980e-11	3.0730925e-24	4.3754070e-37	8.9668878e-50	3.3690844e-62	2.9908543e-74	8.6888769e-86	1.2165705e-96	1.2615230e-106	1.4919596e-115	2.9814395e-123	1.3014878e-129	1.3597992e-134	3.0422933e-138	3.9754029e-141	1.3779890e-142	1.6559938e-143	3.7688355e-144	4.4682680e+02
6.719e-02	4.3866584e+02	2.2560396e-11	2.9680286e-24	4.2529860e-37	8.7667376e-50	3.3104024e-62	2.9511002e-74	8.6025535e-86	1.2076765e-96	1.2547686e-106	1.4860284e-115	2.9722953e-123	1.2982187e-129	1.3568047e-134	3.0360659e-138	3.9675949e-141	1.3753138e-142	1.6527942e-143	3.7615599e-144	4.3866584e+02
7.073e-02	4.2360600e+02	2.1666487e-11	2.8686626e-24	4.1388762e-37	8.5838361e-50	3.2584435e-62	2.9176158e-74	8.5353947e-86	1.2015908e-96	1.2510351e-106	1.4837684e-115	2.9706236e-123	1.2982491e-129	1.3572798e-134	3.0376265e-138	3.9699810e-141	1.3761740e-142	1.6538440e-143	3.7639558e-144	4.2360600e+02
7.445e-02	4.1548270e+02	2.0840793e-11	2.7752278e-24	4.0328695e-37	8.4179296e-50	3.2132092e-62	2.8904899e-74	8.4878967e-86	1.1984118e-96	1.2504490e-106	1.4853503e-115	2.9767953e-123	1.3017490e-129	1.3614068e-134	3.0473881e-138	3.9831051e-141	1.3807583e-142	1.6593702e-143	3.7765399e-144	4.1548270e+02
7.837e-02	4.0104525e+02	2.0030380e-11	2.6871458e-24	3.9347233e-37	8.2688316e-50	3.1747387e-62	2.8698551e-74	8.4607125e-86	1.1982638e-96	1.2531670e-106	1.4909844e-115	2.9912639e-123	1.3089255e-129	1.3694078e-134	3.0658538e-138	4.0076288e-141	1.3892965e-142	1.6696491e-143	3.7999411e-144	4.0104525e+02
8.250e-02	3.9300729e+02	1.9278673e-11	2.6044992e-24	3.8442676e-37	8.1364414e-50	3.1431129e-62	2.8558926e-74	8.4546727e-86	1.2013010e-96	1.2593808e-106	1.5009256e-115	3.0145783e-123	1.3200291e-129	1.3815507e-134	3.0936302e-138	4.0443496e-141	1.4020655e-142	1.6850139e-143	3.8349177e-144	3.9300729e+02
8.684e-02	3.7919624e+02	1.8545946e-11	2.5268766e-24	3.7613300e-37	8.0207399e-50	3.1184579e-62	2.8488378e-74	8.4708091e-86	1.2077111e-96	1.2693222e-106	1.5154814e-115	3.0473984e-123	1.3353604e-129	1.3981570e-134	3.1314453e-138	4.0942248e-141	1.4193977e-142	1.7058642e-143	3.8823793e-144	3.7919624e+02
9.141e-02	3.7128435e+02	1.7864089e-11	2.4542761e-24	3.6857904e-37	7.9218031e-50	3.1009501e-62	2.8489880e-74	8.5103837e-86	1.2177212e-96	1.2832698e-106	1.5350198e-115	3.0905135e-123	1.3552788e-129	1.4196110e-134	3.1801685e-138	4.1583978e-141	1.4416901e-142	1.7326775e-143	3.9434126e-144	3.7128435e+02
9.622e-02	3.6333910e+02	1.7214407e-11	2.3864448e-24	3.6175463e-37	7.8398053e-50	3.0908228e-62	2.8567103e-74	8.5749250e-86	1.2316039e-96	1.3015568e-106	1.5599807e-115	3.1448660e-123	1.3802129e-129	1.4463710e-134	3.2408372e-138	4.2382318e-141	1.4694160e-142	1.7660228e-143	4.0193134e-144	3.6333910e+02
1.013e-01	3.5034786e+02	1.6587244e-11	2.3232110e-24	3.5565328e-37	7.7750310e-50	3.0883723e-62	2.8724525e-74	8.6662697e-86	1.2496850e-96	1.3245808e-106	1.5908881e-115	3.2115780e-123	1.4106736e-129	1.4789831e-134	3.3146870e-138	4.3353517e-141	1.5031397e-142	1.8065788e-143	4.1116256e-144	3.5034786e+02
1.066e-01	3.4258583e+02	1.6001391e-11	2.2645157e-24	3.5027230e-37	7.7278864e-50	3.0939673e-62	2.8967554e-74	8.7866150e-86	1.2723530e-96	1.3528153e-106	1.6283664e-115	3.2919873e-123	1.4472696e-129	1.5180980e-134	3.4031905e-138	4.4516934e-141	1.5435332e-142	1.8551536e-143	4.2221893e-144	3.4258583e+02
1.122e-01	3.3482663e+02	1.5445147e-11	2.2102018e-24	3.4561241e-37	7.6989129e-50	3.1080587e-62	2.9302672e-74	8.9385812e-86	1.3000708e-96	1.3868246e-106	1.6731598e-115	3.3876880e-123	1.4907267e-129	1.5644919e-134	3.5081048e-138	4.5895672e-141	1.5913987e-142	1.9127121e-143	4.3532002e-144	3.3482663e+02
1.181e-01	3.2266908e+02	1.4912489e-11	2.1601573e-24	3.4167851e-37	7.6888040e-50	3.1311925e-62	2.9737627e-74	9.1252893e-86	1.3333895e-96	1.4272810e-106	1.7261559e-115	3.5005846e-123	1.5419122e-129	1.6190926e-134	3.6315302e-138	4.7517345e-141	1.6476951e-142	1.9804071e-143	4.5072830e-144	3.2266908e+02
1.244e-01	3.1513683e+02	1.4414083e-11	2.1143253e-24	3.3848001e-37	7.6984254e-50	3.1640247e-62	3.0281651e-74	9.3504548e-86	1.3729661e-96	1.4749874e-106	1.7884163e-115	3.6329558e-123	1.6018650e-129	1.6830116e-134	3.7759829e-138	4.9415047e-141	1.7135715e-142	2.0596207e-143	4.6875830e-144	3.1513683e+02
1.309e-01	3.0763661e+02	1.3942679e-11	2.0726196e-24	3.3603115e-37	7.7288391e-50	3.2073395e-62	3.0945729e-74	9.6185038e-86	1.4195849e-96	1.5309044e-106	1.8612133e-115	3.7875365e-123	1.6718325e-129	1.7575845e-134	3.9444879e-138	5.1628560e-141	1.7904093e-142	2.1520143e-143	4.8978816e-144	3.0763661e+02
1.378e-01	2.9631278e+02	1.3494508e-11	2.0349837e-24	3.3435156e-37	7.7813331e-50	3.2620717e-62	3.1742940e-74	9.9347165e-86	1.4741845e-96	1.5961848e-106	1.9460767e-115	3.9676202e-123	1.7533185e-129	1.8444219e-134	4.1406937e-138	5.4205875e-141	1.8798750e-142	2.2595918e-143	5.1427409e-144	2.9631278e+02
1.451e-01	2.8907168e+02	1.3075363e-11	2.0013942e-24	3.3346695e-37	7.8574559e-50	3.3293330e-62	3.2688856e-74	1.0305405e-85	1.5378913e-96	1.6722162e-106	2.0448530e-115	4.1771878e-123	1.8481424e-129	1.9454737e-134	4.3690186e-138	5.7205121e-141	1.9839872e-142	2.3847813e-143	5.4276869e-144	2.8907168e+02
1.527e-01	2.8188567e+02	1.2680781e-11	1.9718297e-24	3.3340982e-37	7.9590592e-50	3.4104463e-62	3.3802060e-74	1.0738136e-85	1.6120614e-96	1.7606757e-106	2.1597793e-115	4.4210719e-123	1.9585154e-129	2.0631112e-134	4.6348377e-138	6.0697022e-141	2.1052025e-142	2.5305366e-143	5.7594436e-144	2.8188567e+02
1.607e-01	2.7476308e+02	1.2310047e-11	1.9462958e-24	3.3422041e-37	8.0883495e-50	3.5069852e-62	3.5104769e-74	1.1242009e-85	1.6983342e-96	1.8635986e-106	2.2935788e-115	4.7051668e-123	2.0871378e-129	2.2002322e-134	4.9447212e-138	6.4768049e-141	2.2465235e-142	2.7004696e-143	6.1462322e-144	2.7476308e+02
1.692e-01	2.6771156e+02	1.1962474e-11	1.9248206e-24	3.3594777e-37	8.2479506e-50	3.6208244e-62	3.6623618e-74	1.1828005e-85	1.7986995e-96	1.9834665e-106	2.4495823e-115	5.0366971e-123	2.2373236e-129	2.3603958e-134	5.3067424e-138	6.9524469e-141	2.4116417e-142	2.8990196e-143	6.5981575e-144	2.6771156e+02
1.781e-01	2.6073816e+02	1.1637413e-11	1.9074565e-24	3.3865106e-37	8.4409799e-50	3.7542020e-62	3.8390653e-74	1.2509437e-85	1.9155841e-96	2.1233205e-106	2.6318858e-115	5.4245676e-123	2.4131634e-129	2.5479984e-134	5.7308771e-138	7.5097626e-141	2.6051189e-142	3.1316739e-143	7.1277096e-144	2.6073816e+02
1.875e-01	2.5384936e+02	1.1334256e-11	1.8942824e-24	3.4240118e-37	8.6711424e-50	3.9097963e-62	4.0444571e-74	1.3302509e-85	2.0519627e-96	2.2869073e-106	2.8455543e-115	5.8798161e-123	2.6197352e-129	2.7685022e-134	6.2295259e-138	8.1650821e-141	2.8326278e-142	3.4052552e-143	7.7504191e-144	2.5384936e+02
1.974e-01	2.4422924e+02	1.1051824e-11	1.8854068e-24	3.4728265e-37	8.9428457e-50	4.0908225e-62	4.2832291e-74	1.4227050e-85	2.2115011e-96	2.4788697e-106	3.0968886e-115	6.4162099e-123	2.8633828e-129	3.0287373e-134	6.8182007e-138	8.9388381e-141	3.1012665e-142	3.7283013e-143	8.4857195e-144	2.4422924e+02
2.078e-01	2.3765346e+02	1.0790985e-11	1.8809719e-24	3.5339595e-37	9.2613417e-50	4.3011538e-62	4.5610972e-74	1.5307445e-85	2.3987431e-96	2.7049960e-106	3.3937768e-115	7.0510321e-123	3.1520835e-129	3.3373005e-134	7.5164352e-138	9.8567673e-141	3.4199765e-142	4.1115672e-143	9.3580926e-144	2.3765346e+02
2.187e-01	2.3117361e+02	1.0550496e-11	1.8811562e-24	3.6086032e-37	9.6329043e-50	4.5454744e-62	4.8850585e-74	1.6573859e-85	2.6193552e-96	2.9725499e-106	3.7461610e-115	7.8061285e-123	3.4959385e-129	3.7050881e-134	8.3490012e-138	1.0951516e-140	3.8001003e-142	4.5686968e-143	1.0398595e-143	2.3117361e+02
2.302e-01	2.2479415e+02	1.0329974e-11	1.8861804e-24	3.6981721e-37	1.0065047e-49	4.8294748e-62	5.2637243e-74	1.8063823e-85	2.8804498e-96	3.2907080e-106	4.1666599e-115	8.7093116e-123	3.9078321e-129	4.1460134e-134	9.3475450e-138	1.2264803e-140	4.2561341e-142	5.1171278e-143	1.1646921e-143	2.2479415e+02
2.423e-01	2.1851912e+02	1.0129099e-11	1.8963128e-24	3.8043447e-37	1.0566801e-49	5.1600996e-62	5.7077526e-74	1.9824334e-85	3.1910151e-96	3.6711471e-106	4.6714087e-115	9.7962600e-123	4.4043251e-129	4.6779794e-134	1.0552811e-137	1.3850355e-140	4.8067477e-142	5.7793196e-143	1.3154194e-143	2.1851912e+02
2.551e-01	2.1235210e+02	9.9476192e-12	1.9118768e-24	3.9291151e-37	1.1149059e-49	5.5458680e-62	6.2304132e-74	2.1914632e-85	3.5624910e-96	4.1288378e-106	5.2812002e-115	1.1113106e-122	5.0068755e-129	5.3242101e-134	1.2017684e-137	1.5777933e-140	5.4761845e-142	6.5844369e-143	1.4986801e-143	2.1235210e+02
2.685e-01	2.0842682e+02	9.7854825e-12	1.9332584e-24	4.0748571e-37	1.1825017e-49	5.9972867e-62	6.8483328e-74	2.4409911e-85	4.0095479e-96	4.6831247e-106	6.0230481e-115	1.2719998e-122	5.7435218e-129	6.1150889e-134	1.3811394e-137	1.8138884e-140	6.2961936e-142	7.5706751e-143	1.7231689e-143	2.0842682e+02
2.827e-01	2.0238492e+02	9.6423234e-12	1.9609171e-24	4.2444021e-37	1.2610727e-49	6.5273889e-62	7.5824829e-74	2.7406323e-85	4.5511471e-96	5.3592125e-106	6.9323485e-115	1.4696046e-122	6.6512253e-129	7.0907195e-134	1.6025378e-137	2.1053904e-140	7.3087273e-142	8.7885070e-143	2.0003751e-143	2.0238492e+02
2.975e-01	1.9646339e+02	9.5182955e-12	1.9953971e-24	4.4411377e-37	1.3525818e-49	7.1524390e-62	8.4594995e-74	3.1027764e-85	5.2119985e-96	6.1902248e-106	8.0558966e-115	1.7146248e-122	7.7791623e-129	8.3045313e-134	1.8781539e-137	2.4683956e-140	8.5697405e-142	1.0305255e-142	2.3456236e-143	1.9646339e+02
3.132e-01	1.9066416e+02	9.4134873e-12	2.0373427e-24	4.6691303e-37	1.4594412e-49	7.8928648e-62	9.5134635e-74	3.5435174e-85	6.0245818e-96	7.2200879e-106	9.4561388e-115	2.0211298e-122	9.1933942e-129	9.8284005e-134	2.2243985e-137	2.9245817e-140	1.0154599e-141	1.2211597e-142	2.7795563e-143	1.9066416e+02
3.297e-01	1.8498881e+02	9.3280918e-12	2.0875156e-24	4.9332790e-37	1.5846313e-49	8.7744953e-62	1.0788313e-73	4.0839367e-85	7.0319763e-96	8.5076069e-106	1.1217223e-114	2.4081613e-122	1.0983567e-128	1.1760009e-133	2.6635909e-137	3.5034430e-140	1.2165854e-141	1.4630928e-142	3.3302628e-143	1.8498881e+02
3.470e-01	1.7943865e+02	9.2624159e-12	2.1468163e-24	5.2395102e-37	1.7318567e-49	9.8302181e-62	1.2341155e-73	4.7518945e-85	8.2918592e-96	1.0132286e-105	1.3453705e-114	2.9017596e-122	1.3272619e-128	1.4233526e-133	3.2264117e-137	4.2455402e-140	1.4744551e-141	1.7732970e-142	4.0363786e-143	1.7943865e+02
3.653e-01	1.7560133e+02	9.2169079e-12	2.2163107e-24	5.5950234e-37	1.9057494e-49	1.1102219e-61	1.4246831e-73	5.5845476e-85	9.8822167e-96	1.2202728e-105	1.6323204e-114	3.5379270e-122	1.6231019e-128	1.7435298e-133	3.9555078e-137	5.2072781e-140	1.8086857e-141	2.1753782e-142	4.9516414e-143	1.7560133e+02
3.846e-01	1.7022632e+02	9.1921023e-12	2.2972625e-24	6.0086078e-37	2.1121387e-49	1.2645026e-61	1.6604285e-73	6.6319301e-85	1.1909582e-95	1.4868896e-105	2.0045025e-114	4.3670069e-122	2.0097877e-128	2.1627158e-133	4.9108541e-137	6.4680173e-140	2.2468811e-141	2.7025553e-142	6.1516728e-143	1.7022632e+02
4.048e-01	1.6498205e+02	9.1887465e-12	2.3911720e-24	6.4910450e-37	2.3584094e-49	1.4529691e-61	1.9545528e-73	7.9620939e-85	1.4521053e-95	1.8340200e-105	2.4927865e-114	5.4602391e-122	2.5212649e-128	2.7181495e-133	6.1778273e-137	8.1407849e-140	2.8283604e-141	3.4021489e-142	7.7441967e-143	1.6498205e+02
4.261e-01	1.6122822e+02	9.2077432e-12	2.4998262e-24	7.0556322e-37	2.6539835e-49	1.6849570e-61	2.3248371e-73	9.6685693e-85	1.7922024e-95	2.2912526e-105	3.1411560e-114	6.9196913e-122	3.2063344e-128	3.4634688e-133	7.8795190e-137	1.0388622e-139	3.6098494e-141	4.3424317e-142	9.8846366e-143	1.6122822e+02
4.485e-01	1.5617719e+02	9.2501745e-12	2.6253587e-24	7.7188595e-37	3.0109689e-49	1.9728405e-61	2.7954697e-73	1.1881312e-84	2.2402658e-95	2.9009095e-105	4.0130798e-114	8.8935083e-122	4.1360815e-128	4.4769608e-133	1.0195769e-136	1.3449864e-139	4.6742827e-141	5.6232262e-142	1.2800242e-142	1.5617719e+02
4.722e-01	1.5125969e+02	9.3173596e-12	2.7703257e-24	8.5012975e-37	3.4450451e-49	2.3331706e-61	3.3996970e-73	1.4782954e-84	2.8377889e-95	3.7243065e-105	5.2013634e-114	1.1599640e-121	5.4154801e-128	5.8744788e-133	1.3392996e-136	1.7677785e-139	6.1446102e-141	7.3925280e-142	1.6827933e-142	1.5125969e+02
4.970e-01	1.4763433e+02	9.4108638e-12	2.9378006e-24	9.4287636e-37	3.9766781e-49	2.7882964e-61	4.1837110e-73	1.8633211e-84	3.6448668e-95	4.8514710e-105	6.8435968e-114	1.5363296e-121	7.2017846e-128	7.8299590e-133	1.7871631e-136	2.3603681e-139	8.2057690e-141	9.8729623e-142	2.2474534e-142	1.4763433e+02
5.232e-01	1.4292226e+02	9.5325339e-12	3.1314931e-24	1.0533868e-36	4.6328028e-49	3.3686938e-61	5.2124129e-73	2.3806006e-84	4.7496943e-95	6.4164383e-105	9.1467269e-114	2.0676931e-121	9.7341115e-128	1.0608500e-132	2.4242696e-136	3.2038766e-139	1.1140180e-140	1.3404527e-141	3.0514091e-142	1.4292226e+02
5.507e-01	1.3938198e+02	9.6845521e-12	3.3558999e-24	1.1858075e-36	5.4491741e-49	4.1163506e-61	6.5780627e-73	3.0846662e-84	6.2835050e-95	8.6216840e-105	1.2426732e-113	2.8297809e-121	1.3381766e-127	1.4620538e-132	3.3453362e-136	4.4241371e-139	1.5386007e-140	1.8514753e-141	4.2147604e-142	1.3938198e+02
5.797e-01	1.3488248e+02	9.8694771e-12	3.6164958e-24	1.3454476e-36	6.4736792e-49	5.0897339e-61	8.4134167e-73	4.0561187e-84	8.4444034e-95	1.1777734e-104	1.7173690e-113	3.9409220e-121	1.8724471e-127	2.0512020e-132	4.6996227e-136	6.2195810e-139	2.1634339e-140	2.6035750e-141	5.9269518e-142	1.3488248e+02
6.103e-01	1.3144349e+02	1.0090311e-11	3.9199774e-24	1.5391537e-36	7.7710537e-49	6.3711664e-61	1.0911934e-72	5.4157629e-84	1.1535952e-94	1.6368395e-104	2.4160215e-113	5.5891324e-121	2.6687814e-127	2.9317065e-132	6.7264097e-136	8.9085486e-139	3.0994105e-140	3.7302832e-141	8.4919958e-142	1.3144349e+02
6.424e-01	1.2716147e+02	1.0350567e-11	4.2745768e-24	1.7758216e-36	9.4296547e-49	8.0779025e-61	1.4359264e-72	7.3473086e-84	1.6030625e-94	2.3159935e-104	3.4625268e-113	8.0784051e-121	3.8775936e-127	4.2720963e-132	9.8162096e-136	1.3010979e-138	4.5276877e-140	5.4497592e-141	1.2406586e-141	1.2716147e+02
6.762e-01	1.2383741e+02	1.0654361e-11	4.6904660e-24	2.0670994e-36	1.1571292e-48	1.0378963e-60	1.9182990e-72	1.0134375e-83	2.2675836e-94	3.3386934e-104	5.0591183e-113	1.1909254e-120	5.7478578e-127	6.3521667e-132	1.4618337e-135	1.9392087e-138	6.7497906e-140	8.1251483e-141	1.8497528e-141	1.2383741e+02
7.118e-01	1.2054985e+02	1.1006514e-11	5.1802805e-24	2.4283623e-36	1.4365640e-48	1.3521035e-60	2.6032312e-72	1.4221758e-83	3.2674079e-94	4.9074235e-104	7.5420478e-113	1.7921484e-120	8.6996707e-127	9.6455061e-132	2.2233581e-135	2.9519926e-138	1.0277453e-139	1.2372822e-140	2.8168189e-141	1.2054985e+02
7.493e-01	1.1657807e+02	1.1412676e-11	5.7598057e-24	2.8800744e-36	1.8051606e-48	1.7868832e-60	3.5907566e-72	2.0318498e-83	4.7994292e-94	7.3604901e-104	1.1481248e-112	2.7552191e-120	1.3456160e-126	1.4970022e-131	3.4566227e-135	4.5936395e-138	1.5996946e-139	1.9260379e-140	4.3849351e-141	1.1657807e+02
7.887e-01	1.1342374e+02	1.1879484e-11	6.4488751e-24	3.4497087e-36	2.2969335e-48	2.3968828e-60	5.0373948e-72	2.9574194e-83	7.1919825e-94	1.1274122e-103	1.7862231e-112	4.3311451e-120	2.1288207e-126	2.3768177e-131	5.4980580e-135	7.3136496e-138	2.5475928e-139	3.0676413e-140	6.9841177e-141	1.1342374e+02
8.303e-01	1.1031691e+02	1.2414741e-11	7.2725593e-24	4.1744778e-36	2.9608726e-48	3.2651267e-60	7.1919717e-72	4.3885835e-83	1.1003077e-93	1.7649653e-103	2.8424918e-112	6.9677804e-120	3.4478158e-126	3.8639957e-131	8.9551877e-135	1.1924532e-137	4.1548845e-139	5.0036025e-140	1.1391970e-140	1.1031691e+02
8.740e-01	1.0726133e+02	1.3027645e-11	8.2627454e-24	5.1052514e-36	3.8683831e-48	4.5195767e-60	1.0456631e-71	6.6441424e-83	1.7199925e-93	2.8263711e-103	4.6308195e-112	1.1482082e-119	5.7217974e-126	6.4379143e-131	1.4950326e-134	1.9928848e-137	6.9458901e-139	8.3657254e-140	1.9047115e-140	1.0726133e+02
9.200e-01	1.0426046e+02	1.3729058e-11	9.4602518e-24	6.3122339e-36	5.1248325e-48	6.3604099e-60	1.5492505e-71	1.0270103e-82	2.7493662e-93	4.6337326e-103	7.7303229e-112	1.9398980e-119	9.7388870e-126	1.1003498e-130	2.5606406e-134	3.4171912e-137	1.1913787e-138	1.4350931e-139	3.2675011e-140	1.0426046e+02
9.684e-01	1.0079867e+02	1.4531846e-11	1.0917674e-23	7.8932655e-36	6.8876973e-48	9.1056275e-60	2.3405901e-71	1.6220154e-82	4.4976393e-93	7.7842600e-103	1.3234630e-111	3.3633695e-119	1.7017184e-125	1.9311275e-130	4.5038972e-134	6.0176053e-137	2.0986795e-138	2.5283304e-139	5.7567857e-140	1.0079867e+02
1.019e+00	9.7953603e+01	1.5451288e-11	1.2703248e-23	9.9860871e-36	9.3954510e-48	1.3268506e-59	3.6082276e-71	2.6194281e-82	7.5359866e-93	1.3411273e-102	2.3259495e-111	5.9899094e-119	3.0555413e-125	3.4834610e-130	8.1432515e-134	1.0893676e-136	3.8005477e-138	4.5792497e-139	1.0426816e-139	9.7953603e+01
1.073e+00	9.5170262e+01	1.6505582e-11	1.4906115e-23	1.2786640e-35	1.3014160e-47	1.9691233e-59	5.6796381e-71	4.3287232e-82	1.2943774e-92	2.3717887e-102	4.2001901e-111	1.0968190e-118	5.6433663e-125	6.4649204e-130	1.5149966e-133	2.0293542e-136	7.0825014e-138	8.5348999e-139	1.9434238e-139	9.5170262e+01
1.130e+00	9.2451102e+01	1.7716476e-11	1.7643575e-23	1.6576661e-35	1.8313668e-47	2.9779317e-59	9.1348331e-71	7.3256821e-82	2.2809326e-92	4.3094983e-102	7.8006155e-111	2.0670144e-118	1.0731775e-124	1.2356811e-129	2.9031624e-133	3.8941864e-136	1.3595990e-137	1.6386626e-138	3.7313929e-139	9.2451102e+01
1.189e+00	8.9798347e+01	1.9110035e-11	2.1071113e-23	2.1765730e-35	2.6193915e-47	4.5919769e-59	1.5022063e-70	1.2705919e-81	4.1272701e-92	8.0522505e-102	1.4914048e-110	4.0130600e-118	2.1034254e-124	2.4349215e-129	5.7361959e-133	7.7054805e-136	2.6913350e-137	3.2442695e-138	7.3877354e-139	8.9798347e+01
1.252e+00	8.7213983e+01	2.0717614e-11	2.5396399e-23	2.8956068e-35	3.8097382e-47	7.2240221e-59	2.5275708e-70	2.2603176e-81	7.6750664e-92	1.5486219e-101	2.9382436e-110	8.0346168e-118	4.2535178e-124	4.9516256e-129	1.1698266e-132	1.5738392e-135	5.4993501e-137	6.6303229e-138	1.5098811e-138	8.7213983e+01
1.318e+00	8.4699775e+01	2.2577066e-11	3.0898947e-23	3.9043471e-35	5.6371704e-47	1.1601187e-58	4.3542811e-70	4.1273728e-81	1.4680499e-91	3.0683887e-101	5.9707231e-110	1.6605379e-117	8.8834524e-124	1.0402737e-128	2.4650151e-132	3.3216662e-135	1.1611800e-136	1.4002348e-137	3.1887711e-138	8.4699775e+01
1.387e+00	8.2553394e+01	2.4734247e-11	3.7957960e-23	5.3376389e-35	8.4897942e-47	1.9029031e-58	7.6853126e-70	7.7419950e-81	2.8907407e-91	6.2691989e-101	1.2526664e-109	3.5462159e-117	1.9181245e-123	2.2601625e-128	5.3725036e-132	7.2518170e-135	2.5362554e-136	3.0589785e-137	6.9664900e-138	8.2553394e+01
