# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	n=1           	Total
3.112e-02	1.4923745e+01	7.7120911e-13	5.8286031e-26	6.2846391e-39	1.0612107e-51	3.3974613e-64	2.7086642e-76	7.6058564e-88	1.1332950e-98	1.4045998e-108	2.2627526e-117	6.9378633e-125	5.1741449e-131	9.8556678e-136	4.0245464e-139	1.5086965e-141	5.1755193e-143	6.0725525e-144	1.3817870e-144	1.3770671e-145	1.4923745e+01
3.276e-02	1.4692764e+01	7.4181564e-13	5.5916385e-26	6.0418934e-39	1.0229099e-51	3.2826347e-64	2.6223515e-76	7.3753601e-88	1.1003179e-98	1.3649749e-108	2.2003116e-117	6.7491754e-125	5.0346539e-131	9.5912357e-136	3.9168162e-139	1.4683566e-141	5.0371919e-143	5.9102769e-144	1.3448629e-144	1.3402695e-145	1.4692764e+01
3.448e-02	1.4208648e+01	7.1078577e-13	5.3626001e-26	5.8112981e-39	9.8671544e-52	3.1744800e-64	2.5413002e-76	7.1595340e-88	1.0695183e-98	1.3280442e-108	2.1422074e-117	6.5737816e-125	4.9050767e-131	9.3456873e-136	3.8167973e-139	1.4309075e-141	4.9087810e-143	5.7596365e-144	1.3105864e-144	1.3061105e-145	1.4208648e+01
3.630e-02	1.3737550e+01	6.8110278e-13	5.1450466e-26	5.5930289e-39	9.5255893e-52	3.0727455e-64	2.4653191e-76	6.9578822e-88	1.0408280e-98	1.2937279e-108	2.0883180e-117	6.4113201e-125	4.7851494e-131	9.1185253e-136	3.7242877e-139	1.3962737e-141	4.7900281e-143	5.6203282e-144	1.2788884e-144	1.2745212e-145	1.3737550e+01
3.821e-02	1.3279318e+01	6.5272092e-13	4.9384826e-26	5.3865411e-39	9.2035496e-52	2.9771829e-64	2.3942303e-76	6.7699531e-88	1.0141854e-98	1.2619557e-108	2.0385367e-117	6.2614770e-125	4.6746437e-131	8.9093218e-136	3.6391138e-139	1.3643903e-141	4.6807110e-143	5.4920912e-144	1.2497097e-144	1.2454426e-145	1.3279318e+01
4.022e-02	1.3043508e+01	6.2732386e-13	4.7441473e-26	5.1915569e-39	8.9002909e-52	2.8875658e-64	2.3278718e-76	6.5953423e-88	9.8953654e-99	1.2326669e-108	1.9927725e-117	6.1239873e-125	4.5733685e-131	8.7177191e-136	3.5611309e-139	1.3352034e-141	4.5806445e-143	5.3747089e-144	1.2230010e-144	1.2188255e-145	1.3043508e+01
4.234e-02	1.2600497e+01	6.0123940e-13	4.5579089e-26	5.0070710e-39	8.6149426e-52	2.8036768e-64	2.2660958e-76	6.4336912e-88	9.6683493e-99	1.2058100e-108	1.9509501e-117	5.9986364e-125	4.4811707e-131	8.5434331e-136	3.4902245e-139	1.3086701e-141	4.4896828e-143	5.2680099e-144	1.1987232e-144	1.1946311e-145	1.2600497e+01
4.457e-02	1.2170268e+01	5.7633896e-13	4.3813271e-26	4.8329133e-39	8.3468812e-52	2.7253268e-64	2.2087724e-76	6.2846906e-88	9.4604159e-99	1.1813439e-108	1.9130115e-117	5.8852625e-125	4.3979371e-131	8.3862561e-136	3.4263114e-139	1.2847597e-141	4.4077201e-143	5.1718704e-144	1.1768482e-144	1.1728312e-145	1.2170268e+01
4.691e-02	1.1933809e+01	5.5376467e-13	4.2149274e-26	4.6687580e-39	8.0954843e-52	2.6523422e-64	2.1557865e-76	6.1480799e-88	9.2712549e-99	1.1592377e-108	1.8789160e-117	5.7837590e-125	4.3235970e-131	8.2460616e-136	3.3693415e-139	1.2634537e-141	4.3346937e-143	5.0862169e-144	1.1573593e-144	1.1534094e-145	1.1933809e+01
4.938e-02	1.1519747e+01	5.3098116e-13	4.0562751e-26	4.5139647e-39	7.8601131e-52	2.5845646e-64	2.1070395e-76	6.0236494e-88	9.1006394e-99	1.1394717e-108	1.8486414e-117	5.6940787e-125	4.2581237e-131	8.1228092e-136	3.3193003e-139	1.2447469e-141	4.2705863e-143	5.0110296e-144	1.1402520e-144	1.1363610e-145	1.1519747e+01
5.198e-02	1.1118218e+01	5.0926464e-13	3.9060960e-26	4.3682849e-39	7.6402530e-52	2.5218572e-64	2.0624496e-76	5.9112424e-88	8.9484294e-99	1.1220378e-108	1.8221856e-117	5.6162371e-125	4.2015395e-131	8.0165515e-136	3.2762114e-139	1.2286487e-141	4.2154303e-143	4.9463461e-144	1.1255350e-144	1.1216946e-145	1.1118218e+01
5.472e-02	1.0885060e+01	4.8937564e-13	3.7645344e-26	4.2314105e-39	7.4354204e-52	2.4641014e-64	2.0219528e-76	5.8107587e-88	8.8145783e-99	1.1069404e-108	1.7995679e-117	5.5503186e-125	4.1539186e-131	7.9274417e-136	3.2401398e-139	1.2151838e-141	4.1693111e-143	4.8922676e-144	1.1132310e-144	1.1094332e-145	1.0885060e+01
5.760e-02	1.0500214e+01	4.6958583e-13	3.6301475e-26	4.1029105e-39	7.2451583e-52	2.4111970e-64	1.9855029e-76	5.7221571e-88	8.6991398e-99	1.0941974e-108	1.7808310e-117	5.4964820e-125	4.1153921e-131	7.8557436e-136	3.2111958e-139	1.2043940e-141	4.1323729e-143	4.8489634e-144	1.1033788e-144	1.0996152e-145	1.0500214e+01
6.064e-02	1.0268557e+01	4.5134876e-13	3.5035248e-26	3.9825635e-39	7.0690910e-52	2.3630645e-64	1.9530730e-76	5.6454605e-88	8.6022760e-99	1.0838420e-108	1.7660432e-117	5.4549689e-125	4.0861550e-131	7.8018431e-136	3.1895400e-139	1.1963402e-141	4.1048250e-143	4.8166790e-144	1.0960342e-144	1.0922963e-145	1.0268557e+01
6.383e-02	9.9007600e+00	4.3336511e-13	3.3836716e-26	3.8700367e-39	6.9068745e-52	2.3196452e-64	1.9246572e-76	5.5807613e-88	8.5242683e-99	1.0759234e-108	1.7553014e-117	5.4261123e-125	4.0664720e-131	7.7662622e-136	3.1753892e-139	1.1911042e-141	4.0869487e-143	4.7957453e-144	1.0912725e-144	1.0875515e-145	9.9007600e+00
6.719e-02	9.6721449e+00	4.1670913e-13	3.2708654e-26	3.7651197e-39	6.7582319e-52	2.2809025e-64	1.9002712e-76	5.5282269e-88	8.4655296e-99	1.0705095e-108	1.7487344e-117	5.4103483e-125	4.0566872e-131	7.7496763e-136	3.1690230e-139	1.1887915e-141	4.0791072e-143	4.7865887e-144	1.0891909e-144	1.0854776e-145	9.6721449e+00
7.073e-02	9.3215947e+00	4.0041092e-13	3.1644113e-26	3.6675562e-39	6.6229325e-52	2.2468231e-64	1.8799553e-76	5.4881088e-88	8.4266196e-99	1.0676880e-108	1.7465069e-117	5.4082291e-125	4.0572342e-131	7.7529341e-136	3.1707925e-139	1.1895346e-141	4.0817560e-143	4.7897440e-144	1.0899108e-144	1.0861958e-145	9.3215947e+00
7.445e-02	9.0973267e+00	3.8525586e-13	3.0644005e-26	3.5771652e-39	6.5008097e-52	2.2174191e-64	1.8637760e-76	5.4607513e-88	8.4082623e-99	1.0675706e-108	1.7488243e-117	5.4204393e-125	4.0686489e-131	7.7770824e-136	3.1811305e-139	1.1934967e-141	4.0954561e-143	4.8058704e-144	1.0935825e-144	1.0898557e-145	9.0973267e+00
7.837e-02	8.7640738e+00	3.7052479e-13	2.9703391e-26	3.4937552e-39	6.3917541e-52	2.1927297e-64	1.8518288e-76	5.4466026e-88	8.4113688e-99	1.0702951e-108	1.7559389e-117	5.4478157e-125	4.0915842e-131	7.8233961e-136	3.2005636e-139	1.2008764e-141	4.1208899e-143	4.8357688e-144	1.1003881e-144	1.0966389e-145	8.7640738e+00
8.250e-02	8.5452471e+00	3.5678534e-13	2.8822145e-26	3.4171868e-39	6.2957236e-52	2.1728242e-64	1.8442421e-76	5.4462290e-88	8.4370628e-99	1.0760293e-108	1.7681566e-117	5.4913700e-125	4.1268289e-131	7.8934135e-136	3.2297274e-139	1.2119131e-141	4.1588807e-143	4.8804061e-144	1.1105478e-144	1.1067648e-145	8.5452471e+00
8.684e-02	8.2292127e+00	3.4350755e-13	2.7996705e-26	3.3473291e-39	6.2127439e-52	2.1578049e-64	1.8411809e-76	5.4603310e-88	8.4867126e-99	1.0849767e-108	1.7858458e-117	5.5523185e-125	4.1753299e-131	7.9889801e-136	3.2693835e-139	1.2268940e-141	4.2104155e-143	4.9409416e-144	1.1243253e-144	1.1204962e-145	8.2292127e+00
9.141e-02	8.0167288e+00	3.3109665e-13	2.7226436e-26	3.2840927e-39	6.1429174e-52	2.1478104e-64	1.8428518e-76	5.4897629e-88	8.5619695e-99	1.0973813e-108	1.8094477e-117	5.6321156e-125	4.2382189e-131	8.1123015e-136	3.3204429e-139	1.2461623e-141	4.2766737e-143	5.0187598e-144	1.1420357e-144	1.1381473e-145	8.0167288e+00
9.622e-02	7.8051564e+00	3.1930158e-13	2.6509033e-26	3.2274097e-39	6.0864281e-52	2.1430208e-64	1.8495085e-76	5.5355570e-88	8.6648142e-99	1.1135346e-108	1.8394892e-117	5.7324968e-125	4.3168461e-131	8.2660079e-136	3.3839910e-139	1.2701271e-141	4.3590619e-143	5.1155125e-144	1.1640550e-144	1.1600926e-145	7.8051564e+00
1.013e-01	7.5123097e+00	3.0799583e-13	2.5842840e-26	3.1772460e-39	6.0435509e-52	2.1436629e-64	1.8614599e-76	5.5989523e-88	8.7976129e-99	1.1337846e-108	1.8765981e-117	5.8555299e-125	4.4128196e-131	8.4532332e-136	3.4613219e-139	1.2992760e-141	4.4592554e-143	5.2331669e-144	1.1908309e-144	1.1867785e-145	7.5123097e+00
1.066e-01	7.3083330e+00	2.9740556e-13	2.5227012e-26	3.1336034e-39	6.0146618e-52	2.1500162e-64	1.8790774e-76	5.6814296e-88	8.9631863e-99	1.1585457e-108	1.9215222e-117	6.0036789e-125	4.5280564e-131	8.6777120e-136	3.5539771e-139	1.3341901e-141	4.5792516e-143	5.3740686e-144	1.2228970e-144	1.2187367e-145	7.3083330e+00
1.122e-01	7.1061226e+00	2.8737708e-13	2.4660139e-26	3.0965170e-39	6.0002493e-52	2.1624212e-64	1.9028061e-76	5.7847542e-88	9.1648944e-99	1.1883117e-108	1.9751530e-117	6.1798816e-125	4.6648426e-131	8.9439001e-136	3.6637964e-139	1.3755626e-141	4.7214333e-143	5.5410152e-144	1.2608902e-144	1.2566019e-145	7.1061226e+00
1.181e-01	6.8363837e+00	2.7783206e-13	2.4141194e-26	3.0660628e-39	6.0009297e-52	2.1812885e-64	1.9331774e-76	5.9110283e-88	9.4067388e-99	1.2236712e-108	2.0385545e-117	6.3876468e-125	4.8259099e-131	9.2571227e-136	3.7929787e-139	1.4242223e-141	4.8886491e-143	5.7373520e-144	1.3055717e-144	1.3011329e-145	6.8363837e+00
1.244e-01	6.6426487e+00	2.6889056e-13	2.3669588e-26	3.0423601e-39	6.0174641e-52	2.2071103e-64	1.9708238e-76	6.0627549e-88	9.6934909e-99	1.2653271e-108	2.1129988e-117	6.6311744e-125	5.0145302e-131	9.6237601e-136	3.9441590e-139	1.4811625e-141	5.0843130e-143	5.9670879e-144	1.3578540e-144	1.3532389e-145	6.6426487e+00
1.309e-01	6.4513333e+00	2.6045904e-13	2.3244642e-26	3.0255760e-39	6.0507797e-52	2.2404744e-64	2.0164985e-76	6.2429167e-88	1.0030850e-98	1.3141211e-108	2.2000114e-117	6.9155063e-125	5.2346340e-131	1.0051480e-135	4.1205047e-139	1.5475770e-141	5.3125291e-143	6.2350424e-144	1.4188337e-144	1.4140131e-145	6.4513333e+00
1.378e-01	6.2042725e+00	2.5248836e-13	2.2865972e-26	3.0159309e-39	6.1019952e-52	2.2820806e-64	2.0710980e-76	6.4550742e-88	1.0425639e-98	1.3710633e-108	2.3014273e-117	7.2467154e-125	5.4909593e-131	1.0549530e-135	4.3258365e-139	1.6249064e-141	5.5782491e-143	6.5470299e-144	1.4898343e-144	1.4847743e-145	6.2042725e+00
1.451e-01	6.0219964e+00	2.4503833e-13	2.2533506e-26	3.0137058e-39	6.1724513e-52	2.3327613e-64	2.1356908e-76	6.7034865e-88	1.0886052e-98	1.4373705e-108	2.4194618e-117	7.6321446e-125	5.7892406e-131	1.1129107e-135	4.5647819e-139	1.7148955e-141	5.8874710e-143	6.9100942e-144	1.5724586e-144	1.5671201e-145	6.0219964e+00
1.527e-01	5.8426203e+00	2.3805209e-13	2.2247308e-26	3.0192492e-39	6.2637478e-52	2.3935069e-64	2.2115522e-76	6.9932633e-88	1.1421965e-98	1.5145143e-108	2.5568007e-117	8.0807106e-125	6.1364482e-131	1.1803830e-135	4.8429705e-139	1.8196670e-141	6.2474930e-143	7.3328062e-144	1.6686573e-144	1.6629945e-145	5.8426203e+00
1.607e-01	5.6663241e+00	2.3151640e-13	2.2007745e-26	3.0329880e-39	6.3777888e-52	2.4654964e-64	2.3002090e-76	7.3305558e-88	1.2045321e-98	1.6042817e-108	2.7167145e-117	8.6032925e-125	6.5410959e-131	1.2590343e-135	5.1672847e-139	1.9418167e-141	6.6672389e-143	7.8256455e-144	1.7808154e-144	1.7747747e-145	5.6663241e+00
1.692e-01	5.4932689e+00	2.2541886e-13	2.1815466e-26	3.0554380e-39	6.5168378e-52	2.5501359e-64	2.4034939e-76	7.7227961e-88	1.2770633e-98	1.7088532e-108	2.9032063e-117	9.2132306e-125	7.0136360e-131	1.3509092e-135	5.5461819e-139	2.0845349e-141	7.1576774e-143	8.4014937e-144	1.9118646e-144	1.9053823e-145	5.4932689e+00
1.781e-01	5.3235977e+00	2.1974800e-13	2.1671435e-26	3.0872178e-39	6.6835842e-52	2.6491055e-64	2.5236141e-76	8.1790030e-88	1.3615619e-98	1.8309030e-108	3.1212008e-117	9.9269732e-125	7.5669723e-131	1.4585339e-135	5.9901137e-139	2.2517646e-141	7.7323664e-143	9.0762738e-144	2.0654287e-144	2.0584290e-145	5.3235977e+00
1.875e-01	5.1574361e+00	2.1449339e-13	2.1576962e-26	3.1290665e-39	6.8812271e-52	2.7644190e-64	2.6632392e-76	8.7101714e-88	1.4602023e-98	1.9737287e-108	3.3767921e-117	1.0764919e-124	8.2171289e-131	1.5850474e-135	6.5120737e-139	2.4484086e-141	8.4081652e-143	9.8697859e-144	2.2460140e-144	2.2384061e-145	5.1574361e+00
1.974e-01	4.9572875e+00	2.0963966e-13	2.1533744e-26	3.1818625e-39	7.1135758e-52	2.8984979e-64	2.8256116e-76	9.3297726e-88	1.5756668e-98	2.1414202e-108	3.6775664e-117	1.1752520e-124	8.9841299e-131	1.7343755e-135	7.1283171e-139	2.6806019e-141	9.2061703e-143	1.0806808e-143	2.4592595e-144	2.4509337e-145	4.9572875e+00
2.078e-01	4.8009013e+00	2.0519250e-13	2.1543918e-26	3.2466496e-39	7.3851769e-52	3.0542642e-64	3.0146880e-76	1.0054401e-87	1.7112846e-98	2.3390818e-108	4.0330276e-117	1.2921749e-124	9.8931636e-131	1.9114605e-135	7.8593167e-139	2.9560723e-141	1.0152959e-142	1.1918556e-143	2.7122696e-144	2.7030925e-145	4.8009013e+00
2.187e-01	4.6481763e+00	2.0113723e-13	2.1610112e-26	3.3246659e-39	7.7014702e-52	3.2352597e-64	3.2353209e-76	1.0904614e-87	1.8712127e-98	2.5731245e-108	4.4551627e-117	1.4313033e-124	1.0976135e-130	2.1225680e-135	8.7310379e-139	3.2846233e-141	1.1282248e-142	1.3244632e-143	3.0140577e-144	3.0038654e-145	4.6481763e+00
2.302e-01	4.4991830e+00	1.9746865e-13	2.1735516e-26	3.4173810e-39	8.0689858e-52	3.4457960e-64	3.4934946e-76	1.1906038e-87	2.0606766e-98	2.8516573e-108	4.9591984e-117	1.5977873e-124	1.2273754e-130	2.3757003e-135	9.7766578e-139	3.6787834e-141	1.2637132e-142	1.4835653e-143	3.3761437e-144	3.3647341e-145	4.4991830e+00
2.423e-01	4.3539787e+00	1.9418306e-13	2.1923971e-26	3.5265409e-39	8.4955898e-52	3.6911478e-64	3.7966318e-76	1.3090817e-87	2.2862893e-98	3.1850096e-108	5.5646207e-117	1.7982374e-124	1.3838367e-130	2.6811566e-135	1.1038896e-138	4.1546888e-141	1.4273118e-142	1.6756821e-143	3.8133668e-144	3.8004881e-145	4.3539787e+00
2.551e-01	4.2126087e+00	1.9127840e-13	2.2180063e-26	3.6542240e-39	8.9907959e-52	3.9778021e-64	4.1539949e-76	1.4499547e-87	2.5564808e-98	3.5864408e-108	6.2965621e-117	2.0412059e-124	1.5737825e-130	3.0523006e-135	1.2573211e-138	4.7332922e-141	1.6262285e-142	1.9092808e-143	4.3449980e-144	4.3303340e-145	4.2126087e+00
2.685e-01	4.0999273e+00	1.8875540e-13	2.2509244e-26	3.8029088e-39	9.5661607e-52	4.3137815e-64	4.5772177e-76	1.6183867e-87	2.8820793e-98	4.0731057e-108	7.1877038e-117	2.3378508e-124	1.8060823e-130	3.5066199e-135	1.4452212e-138	5.4420330e-141	1.8699041e-142	2.1954513e-143	4.9962779e-144	4.9794281e-145	4.0999273e+00
2.827e-01	3.9645886e+00	1.8661331e-13	2.2917980e-26	3.9755605e-39	1.0235788e-51	4.7090660e-64	5.0810106e-76	1.8209941e-87	3.2771043e-98	4.6673851e-108	8.2809099e-117	2.7028566e-124	2.0924336e-130	4.0672035e-135	1.6771818e-138	6.3171688e-141	2.1708143e-142	2.5488497e-143	5.8005631e-144	5.7810158e-145	3.9645886e+00
2.975e-01	3.8332563e+00	1.8485722e-13	2.3413921e-26	4.1757374e-39	1.1016981e-51	5.1761482e-64	5.6841081e-76	2.0663223e-87	3.7598587e-98	5.3987326e-108	9.6329056e-117	3.1557277e-124	2.4484060e-130	4.7648203e-135	1.9659927e-138	7.4070587e-141	2.5456002e-142	2.9890262e-143	6.8023502e-144	6.7794454e-145	3.8332563e+00
3.132e-01	3.7059296e+00	1.8349307e-13	2.4006122e-26	4.4077251e-39	1.1931074e-51	5.7307688e-64	6.4105475e-76	2.3654973e-87	4.3544461e-98	6.3062644e-108	1.1319469e-116	3.7226179e-124	2.8949258e-130	5.6408754e-135	2.3288749e-138	8.7768362e-141	3.0166780e-142	3.5423169e-143	8.0615798e-144	8.0344579e-145	3.7059296e+00
3.297e-01	3.5825990e+00	1.8252933e-13	2.4705294e-26	4.6767060e-39	1.3004533e-51	6.3928983e-64	7.2914111e-76	2.7331296e-87	5.0928997e-98	7.4424261e-108	1.3442824e-116	4.4389512e-124	3.4604037e-130	6.7516570e-135	2.7892545e-138	1.0515129e-140	3.6145527e-142	4.2445626e-143	9.6598276e-144	9.6273578e-145	3.5825990e+00
3.470e-01	3.4632471e+00	1.8197722e-13	2.5524131e-26	4.9889742e-39	1.4270377e-51	7.1880551e-64	8.3672201e-76	3.1885772e-87	6.0181979e-98	8.8782380e-108	1.6142299e-116	5.3532111e-124	4.1838225e-130	8.1745036e-135	3.3793397e-138	1.2743832e-140	4.3811845e-142	5.1450654e-143	1.1709307e-143	1.1669986e-144	3.4632471e+00
3.653e-01	3.3634397e+00	1.8185122e-13	2.6477693e-26	5.3522100e-39	1.5770067e-51	8.1490947e-64	9.6912530e-76	3.7577286e-87	7.1885794e-98	1.0710878e-107	1.9609834e-116	6.5324846e-124	5.1192656e-130	1.0016867e-134	4.1439106e-138	1.5632474e-140	5.3749382e-142	6.3124059e-143	1.4366113e-143	1.4317918e-144	3.3634397e+00
3.846e-01	3.2507970e+00	1.8216884e-13	2.7583888e-26	5.7758320e-39	1.7556010e-51	9.3186525e-64	1.1334188e-75	4.4755437e-87	8.6837842e-98	1.3074769e-107	2.4112830e-116	8.0706662e-124	6.3426377e-130	1.2429780e-134	5.1459561e-138	1.9419604e-140	6.6779514e-142	7.8431033e-143	1.7849933e-143	1.7790113e-144	3.2507970e+00
4.048e-01	3.1421163e+00	1.8295196e-13	2.8864073e-26	6.2714514e-39	1.9694902e-51	1.0752512e-63	1.3390660e-75	5.3897142e-87	1.0614182e-97	1.6157969e-107	3.0028190e-116	1.0100747e-123	7.9617637e-130	1.5628131e-134	6.4751641e-138	2.4445013e-140	8.4072366e-142	9.8746658e-143	2.2473752e-143	2.2398519e-144	3.1421163e+00
4.261e-01	3.0493834e+00	1.8422676e-13	3.0343784e-26	6.8534621e-39	2.2272247e-51	1.2524284e-63	1.5988611e-75	6.5659943e-87	1.3134274e-97	2.0226715e-107	3.7893697e-116	1.2813457e-123	1.0131754e-129	1.9921560e-134	8.2608742e-138	3.1198906e-140	1.0731628e-141	1.2605513e-142	2.8689200e-143	2.8593271e-144	3.0493834e+00
4.485e-01	2.9475448e+00	1.8602435e-13	3.2053672e-26	7.5398138e-39	2.5398486e-51	1.4731981e-63	1.9302775e-75	8.0960473e-87	1.6462906e-97	2.5662599e-107	4.8486533e-116	1.6485909e-123	1.3078697e-129	2.5762189e-134	1.0692103e-137	4.0397963e-140	1.3898000e-141	1.6325794e-142	3.7156708e-143	3.7032619e-144	2.9475448e+00
4.722e-01	2.8495789e+00	1.8838174e-13	3.4030652e-26	8.3530257e-39	2.9217394e-51	1.7507324e-63	2.3574308e-75	1.0109137e-86	2.0913905e-97	3.3019654e-107	6.2944884e-116	2.1526235e-123	1.7136703e-129	3.3819388e-134	1.4048940e-137	5.3104637e-140	1.8272391e-141	2.1465741e-142	4.8855570e-143	4.8692621e-144	2.8495789e+00
4.970e-01	2.7645862e+00	1.9134257e-13	3.6319370e-26	9.3215329e-39	3.3917681e-51	2.1029055e-63	2.9139712e-75	1.2789752e-86	2.6943116e-97	4.3113175e-107	8.2958963e-116	2.8544109e-123	2.2806645e-129	4.5098570e-134	1.8752485e-137	7.0917000e-140	2.4405462e-141	2.8672633e-142	6.5259134e-143	6.5041770e-144	2.7645862e+00
5.232e-01	2.6734323e+00	1.9495817e-13	3.8974056e-26	1.0481481e-38	3.9749156e-51	2.5542191e-63	3.6473929e-75	1.6404524e-86	3.5221593e-97	5.7159878e-107	1.1107537e-115	3.8463843e-123	3.0850730e-129	6.1132845e-134	2.5445484e-137	9.6275439e-140	3.3138270e-141	3.8935159e-142	8.8617914e-143	8.8323169e-144	2.6734323e+00
5.507e-01	2.5935150e+00	1.9928886e-13	4.2060883e-26	1.1879136e-38	4.7045449e-51	3.1386132e-63	4.6255312e-75	2.1343852e-86	4.6751094e-97	7.7002320e-107	1.5118949e-115	5.2708567e-123	4.2447110e-129	8.4297031e-134	3.5124605e-137	1.3296601e-139	4.5775876e-141	5.3787584e-142	1.2242433e-142	1.2201777e-143	2.5935150e+00
5.797e-01	2.5091187e+00	2.0440536e-13	4.5660988e-26	1.3574150e-38	5.6256259e-51	3.9036194e-63	5.9464827e-75	2.8187185e-86	6.3048944e-97	1.0547372e-106	2.0935441e-115	7.3504962e-123	5.9446789e-129	1.1833063e-133	4.9360955e-137	1.8696009e-139	6.4377028e-141	7.5650412e-142	1.7218824e-142	1.7161731e-143	2.5091187e+00
6.103e-01	2.4344496e+00	2.1039069e-13	4.9874364e-26	1.5644016e-38	6.7993562e-51	4.9165636e-63	7.7539440e-75	3.7806818e-86	8.6448477e-97	1.4700037e-106	2.9513212e-115	1.0439595e-122	8.4807741e-129	1.6922366e-133	7.0674065e-137	2.6783908e-139	9.2245768e-141	1.0840858e-141	2.4675312e-142	2.4593633e-143	2.4344496e+00
6.424e-01	2.3567003e+00	2.1734229e-13	5.4824900e-26	1.8190187e-38	8.3098493e-51	6.2739409e-63	1.0261250e-74	5.1535380e-86	1.2059493e-96	2.0861304e-106	4.2388835e-115	1.5111823e-122	1.2334139e-128	2.4674371e-133	1.0317736e-136	3.9125494e-139	1.3478066e-140	1.5841035e-141	3.6057009e-142	3.5937867e-143	2.3567003e+00
6.762e-01	2.2873739e+00	2.2537464e-13	6.0666945e-26	2.1346569e-38	1.0273913e-50	8.1157612e-63	1.3789565e-74	7.1440207e-86	1.7127738e-96	3.0167359e-106	6.2075960e-115	2.2313144e-122	1.8301982e-128	3.6711712e-133	1.5371295e-136	5.8325844e-139	2.0096896e-140	2.3622497e-141	5.3769930e-142	5.3592592e-143	2.2873739e+00
7.118e-01	2.2204316e+00	2.3462250e-13	6.7593911e-26	2.5291394e-38	1.2855502e-50	1.0647775e-62	1.8829446e-74	1.0077991e-85	2.4784796e-96	4.4487596e-106	9.2763715e-115	3.3633326e-122	2.7730834e-128	5.5782674e-133	2.3388487e-136	8.8806000e-139	3.0606647e-140	3.5979532e-141	8.1898718e-142	8.1629141e-143	2.2204316e+00
7.493e-01	2.1521577e+00	2.4524475e-13	7.5849607e-26	3.0263955e-38	1.6287317e-50	1.4176364e-62	2.6141536e-74	1.4477663e-85	3.6568593e-96	6.6955762e-106	1.4156978e-114	5.1797403e-122	4.2941070e-128	8.6636881e-133	3.6377570e-136	1.3822245e-138	4.7650011e-140	5.6020628e-141	1.2751989e-141	1.2710102e-142	2.1521577e+00
7.887e-01	2.0906261e+00	2.5742914e-13	8.5743299e-26	3.6588433e-38	2.0903443e-50	1.9164059e-62	3.6923843e-74	2.1194453e-85	5.5055342e-96	1.0292820e-105	2.2083336e-114	8.1573425e-122	6.8015376e-128	1.3765675e-132	5.7888081e-136	2.2011754e-138	7.5902470e-140	8.9245934e-141	2.0315484e-141	2.0248899e-142	2.0906261e+00
8.303e-01	2.0315533e+00	2.7139807e-13	9.7669796e-26	4.4708121e-38	2.7189270e-50	2.6319116e-62	5.3094058e-74	3.1641535e-85	8.4644177e-96	1.6174702e-105	3.5239780e-114	1.3148447e-121	1.1029461e-127	2.2396258e-132	9.4332686e-136	3.5897571e-138	1.2381955e-139	1.4560351e-140	3.3145138e-141	3.3036754e-142	2.0315533e+00
8.740e-01	1.9749630e+00	2.8741579e-13	1.1213648e-25	5.5235038e-38	3.5858753e-50	3.6742158e-62	7.7773936e-74	4.8208401e-85	1.3299830e-95	2.6005156e-105	5.7578065e-114	2.1710835e-121	1.8327872e-127	3.7345463e-132	1.5756357e-135	6.0008619e-138	2.0704615e-139	2.4350196e-140	5.5431955e-141	5.5251136e-142	1.9749630e+00
9.200e-01	1.9208695e+00	3.0579713e-13	1.2979984e-25	6.9022581e-38	4.7975516e-50	5.2169823e-62	1.1613463e-73	7.5013866e-85	2.1374592e-95	4.2813125e-105	9.6410686e-114	3.6758224e-121	3.1238245e-127	6.3884382e-132	2.7001123e-135	1.0292316e-137	3.5522439e-139	4.1782416e-140	9.5117742e-141	9.4808265e-142	1.9208695e+00
9.684e-01	1.8673937e+00	3.2691844e-13	1.5151539e-25	8.7272991e-38	6.5145099e-50	7.5385883e-62	1.7689809e-73	1.1930062e-84	3.5164923e-95	7.2238447e-105	1.6558986e-113	6.3872791e-121	5.4662883e-127	1.1221848e-131	4.7518264e-135	1.8129457e-137	6.2591836e-139	7.3632039e-140	1.6762763e-140	1.6708371e-141	1.8673937e+00
1.019e+00	1.8185854e+00	3.5123113e-13	1.7840605e-25	1.1169794e-37	8.9824267e-50	1.1092605e-61	2.7505264e-73	1.9407032e-84	5.9271247e-95	1.2503158e-104	2.9200194e-113	1.1401851e-120	9.8299594e-127	2.0261561e-131	8.5964699e-135	3.2829012e-137	1.1338130e-138	1.3339882e-139	3.0369813e-140	3.0271552e-141	1.8185854e+00
1.073e+00	1.7722313e+00	3.7927855e-13	2.1195683e-25	1.4476108e-37	1.2582544e-49	1.6630623e-61	4.3685750e-73	3.2316728e-84	1.0243966e-94	2.2218877e-104	5.2916397e-113	2.0929277e-120	1.8184157e-126	3.7640351e-131	1.6002800e-134	6.1174241e-137	2.1135416e-138	2.4870586e-139	5.6622376e-140	5.6439730e-141	1.7722313e+00
