# Magic number=05072024, 05 July 2024, PCS
# Single electron capture cross sections, n state-selective
# Fe^25+ + H -> Fe^24+ + H^+
# Method=MCLZ
# P. C. Stancil et al. 2024, to be submitted
# ----------------------------------------------------------------------------
# Energy		Cross sections (10^-16 cm^2)
# (eV/u)       	n=20          	n=19          	n=18          	n=17          	n=16          	n=15          	n=14          	n=13          	n=12          	n=11          	n=10          	n=9           	n=8           	n=7           	n=6           	n=5           	n=4           	n=3           	n=2           	n=1           	Total
2.159e-03	6.3193958e+01	5.4918777e-12	5.2062476e-25	6.1173497e-38	1.0583939e-50	3.3817401e-63	2.6635248e-75	7.3701017e-87	1.0833791e-97	1.3281787e-107	2.1228455e-116	6.4754508e-124	4.8147161e-130	9.1348258e-135	3.7278638e-138	1.3967824e-140	4.7796466e-142	5.5905571e-143	1.2721152e-143	1.2717368e-144	6.3193958e+01
2.273e-03	6.2412052e+01	5.3687197e-12	5.0508363e-25	5.9021991e-38	1.0172334e-50	3.2415891e-63	2.5485219e-75	7.0432673e-87	1.0344840e-97	1.2675345e-107	2.0199487e-116	6.1617544e-124	4.5815503e-130	8.7133459e-135	3.5556335e-138	1.3294873e-140	4.5604181e-142	5.3365465e-143	1.2143130e-143	1.2133900e-144	6.2412052e+01
2.392e-03	5.9292788e+01	5.1019285e-12	4.8011398e-25	5.6117617e-38	9.6737969e-51	3.0832722e-63	2.4244133e-75	6.7010693e-87	9.8431373e-98	1.2061429e-107	1.9271718e-116	5.8773173e-124	4.3693746e-130	8.3090184e-135	3.3837888e-138	1.2681286e-140	4.3400247e-142	5.0921777e-143	1.1587053e-143	1.1547505e-144	5.9292788e+01
2.518e-03	5.8510590e+01	4.9827148e-12	4.6533386e-25	5.4096421e-38	9.2905959e-51	2.9536639e-63	2.3185868e-75	6.4014014e-87	9.3960005e-98	1.1507884e-107	1.8381311e-116	5.6045784e-124	4.1585272e-130	7.9081414e-135	3.2268905e-138	1.2090748e-140	4.1400437e-142	4.8465406e-143	1.1028116e-143	1.1015287e-144	5.8510590e+01
2.651e-03	5.7692505e+01	4.8616892e-12	4.5058024e-25	5.2102725e-38	8.9159051e-51	2.8277508e-63	2.2162630e-75	6.1126459e-87	8.9418590e-98	1.0952483e-107	1.7495083e-116	5.3345399e-124	3.9653953e-130	7.5402365e-135	3.0715230e-138	1.1510667e-140	3.9481252e-142	4.6236360e-143	1.0520886e-143	1.0504963e-144	5.7692505e+01
2.791e-03	5.4809493e+01	4.6203590e-12	4.2834899e-25	4.9545898e-38	8.4804471e-51	2.6902019e-63	2.1088227e-75	5.8171224e-87	8.5336339e-98	1.0447980e-107	1.6684534e-116	5.0864627e-124	3.7805473e-130	7.1882274e-135	2.9287894e-138	1.0975450e-140	3.7585827e-142	4.4098976e-143	1.0015404e-143	1.0000248e-144	5.4809493e+01
2.937e-03	5.4001628e+01	4.5041223e-12	4.1440700e-25	4.7683361e-38	8.1333323e-51	2.5742701e-63	2.0150295e-75	5.5532849e-87	8.1418173e-98	9.9645312e-108	1.5908664e-116	4.8491751e-124	3.5992239e-130	6.8435457e-135	2.7922487e-138	1.0462207e-140	3.5841648e-142	4.1984801e-143	9.5534469e-144	9.5360988e-145	5.4001628e+01
3.092e-03	5.3166131e+01	4.3869535e-12	4.0057156e-25	4.5855619e-38	7.7954725e-51	2.4620963e-63	1.9246619e-75	5.2998498e-87	7.7662454e-98	9.4865314e-108	1.5146434e-116	4.6170166e-124	3.4313669e-130	6.5239864e-135	2.6586780e-138	9.9630051e-141	3.4127250e-142	4.0040821e-143	9.1110905e-144	9.0921733e-145	5.3166131e+01
3.255e-03	5.0509713e+01	4.1694683e-12	3.8085331e-25	4.3612608e-38	7.4162708e-51	2.3428990e-63	1.8318520e-75	5.0450987e-87	7.3938608e-98	9.0470289e-108	1.4441796e-116	4.4016571e-124	3.2710434e-130	6.2188502e-135	2.5347470e-138	9.4983910e-141	3.2542746e-142	3.8181531e-143	8.6763371e-144	8.6583241e-145	5.0509713e+01
3.426e-03	4.9692735e+01	4.0576635e-12	3.6784998e-25	4.1913260e-38	7.1045941e-51	2.2399985e-63	1.7492852e-75	4.8141880e-87	7.0523329e-98	8.6268091e-108	1.3768686e-116	4.1960579e-124	3.1152770e-130	5.9227922e-135	2.4164283e-138	9.0540734e-141	3.1028816e-142	3.6364254e-143	8.2744965e-144	8.2554727e-145	4.9692735e+01
