20	19	19	1	19	20	18	18	1	18	113908375.28759101	3.232e-05
20	19	19	1	18	20	18	18	1	17	113908375.28759101	3.227e-05
20	19	19	1	20	20	18	18	1	19	130181000.32867543	2.33e-05
20	19	19	0	19	20	18	18	0	18	130181000.32867543	2.326e-05
20	19	19	1	19	19	18	18	1	18	5398.149409694702	1374000000.0
20	19	19	1	18	19	18	18	1	17	5398.149409694702	1372000000.0
20	19	19	1	18	19	18	18	1	18	5398.149409694702	2063000.0
20	19	19	1	19	19	18	18	1	19	5398.437222306901	1954000.0
20	19	19	1	18	19	18	18	0	18	5398.437222306901	1954000.0
20	19	19	1	18	19	18	18	1	19	5398.437222306901	2783.0
20	19	19	1	19	19	18	18	0	18	5398.437222306901	2641.0
20	19	19	1	20	19	18	18	1	19	5398.213365400808	1376000000.0
20	19	19	0	19	19	18	18	0	18	5398.213365400808	1374000000.0
20	19	19	0	19	19	18	18	1	19	5398.213365400808	1857000.0
20	18	18	1	18	20	17	17	1	17	113908373.66885565	8.777e-05
20	18	18	1	17	20	17	17	1	16	113908373.66885565	8.762e-05
20	18	18	1	19	20	17	17	1	18	130181000.32867543	6.212e-05
20	18	18	0	18	20	17	17	0	17	130181000.32867543	6.203e-05
20	18	18	1	18	19	17	17	1	17	5398.085455504016	1237000000.0
20	18	18	1	17	19	17	17	1	16	5398.085455504016	1235000000.0
20	18	18	1	17	19	17	17	1	17	5398.085455504016	2079000.0
20	18	18	1	17	19	17	17	0	17	5398.405241612194	1963000.0
20	18	18	1	18	19	17	17	1	18	5398.405241612194	1963000.0
20	18	18	1	17	19	17	17	1	18	5398.405241612194	3121.0
20	18	18	1	18	19	17	17	0	17	5398.405241612194	2962.0
20	18	18	0	18	19	17	17	1	17	5397.829653894412	0.007908
20	18	18	1	19	19	17	17	1	18	5398.149409694702	1239000000.0
20	18	18	0	18	19	17	17	0	17	5398.149409694702	1237000000.0
20	18	18	0	18	19	17	17	1	18	5398.149409694702	1860000.0
20	18	18	1	18	18	17	17	1	17	2486.2274436191324	290000000.0
20	18	18	1	17	18	17	17	1	16	2486.2274436191324	289500000.0
20	18	18	1	17	18	17	17	1	17	2486.2274436191324	487400.0
20	18	18	1	17	18	17	17	0	17	2486.308844955093	460300.0
20	18	18	1	18	18	17	17	1	18	2486.308844955093	460300.0
20	18	18	1	17	18	17	17	1	18	2486.308844955093	731.8
20	18	18	1	18	18	17	17	0	17	2486.308844955093	692.2
20	18	18	1	19	18	17	17	1	18	2486.2545768055425	290500000.0
20	18	18	0	18	18	17	17	0	17	2486.2545768055425	290000000.0
20	18	18	0	18	18	17	17	1	18	2486.2545768055425	436100.0
20	17	17	1	17	20	16	16	1	16	91126700.23007281	0.0001821
20	17	17	1	16	20	16	16	1	15	91126700.23007281	0.0001818
20	17	17	1	18	20	16	16	1	17	101251887.86552456	0.0001263
20	17	17	0	17	20	16	16	0	16	101251887.86552456	0.0001261
20	17	17	1	16	19	18	18	1	17	5398.661097783512	513600.0
20	17	17	1	17	19	18	18	1	18	5398.661097783512	512800.0
20	17	17	1	17	19	18	18	1	17	5398.661097783512	815.3
20	17	17	1	18	19	18	18	1	18	5398.373261296396	770.2
20	17	17	0	17	19	18	18	1	17	5398.373261296396	770.1
20	17	17	0	17	19	18	18	1	18	5398.373261296396	1.224
20	17	17	1	18	19	18	18	1	17	5398.373261296396	1.158
20	17	17	0	17	19	18	18	0	18	5398.6610977798755	512900.0
20	17	17	1	18	19	18	18	1	19	5398.6610977798755	512100.0
20	17	17	1	18	19	18	18	0	18	5398.6610977798755	729.5
20	17	17	1	17	19	16	16	1	16	5397.957551668695	1113000000.0
20	17	17	1	16	19	16	16	1	15	5397.957551668695	1111000000.0
20	17	17	1	16	19	16	16	1	16	5397.957551668695	2107000.0
20	17	17	1	16	19	16	16	0	16	5398.341281363136	1983000.0
20	17	17	1	17	19	16	16	1	17	5398.341281363136	1983000.0
20	17	17	1	16	19	16	16	1	17	5398.341281363136	3541.0
20	17	17	1	17	19	16	16	0	16	5398.341281363136	3341.0
20	17	17	0	17	19	16	16	1	16	5397.669790195604	0.0003467
20	17	17	1	18	19	16	16	1	17	5398.05347897694	1115000000.0
20	17	17	0	17	19	16	16	0	16	5398.05347897694	1113000000.0
20	17	17	0	17	19	16	16	1	17	5398.05347897694	1873000.0
20	17	17	1	17	18	16	16	1	16	2486.1935279689237	481300000.0
20	17	17	1	16	18	16	16	1	15	2486.1935279689237	480300000.0
20	17	17	1	16	18	16	16	1	16	2486.1935279689237	911500.0
20	17	17	1	17	18	16	16	1	17	2486.281710584961	857800.0
20	17	17	1	16	18	16	16	0	16	2486.281710584961	857800.0
20	17	17	1	16	18	16	16	1	17	2486.281710584961	1532.0
20	17	17	1	17	18	16	16	0	16	2486.281710584961	1444.0
20	17	17	1	18	18	16	16	1	17	2486.2206604150647	482100000.0
20	17	17	0	17	18	16	16	0	16	2486.2206604150647	481300000.0
20	17	17	0	17	18	16	16	1	17	2486.2206604150647	810200.0
20	17	17	1	17	17	16	16	1	16	1518.3936736027379	113700000.0
20	17	17	1	16	17	16	16	1	15	1518.3936736027379	113500000.0
20	17	17	1	16	17	16	16	1	16	1518.3936736027379	215400.0
20	17	17	1	17	17	16	16	1	17	1518.4341549251196	202800.0
20	17	17	1	16	17	16	16	0	16	1518.4341549251196	202700.0
20	17	17	1	16	17	16	16	1	17	1518.4341549251196	362.0
20	17	17	1	17	17	16	16	0	16	1518.4341549251196	354.3
20	17	17	0	17	17	16	16	1	16	1518.3709038072989	0.1201
20	17	17	1	18	17	16	16	1	17	1518.4113839155596	113900000.0
20	17	17	0	17	17	16	16	0	16	1518.4113839155596	113800000.0
20	17	17	0	17	17	16	16	1	17	1518.4113839155596	191500.0
20	16	16	1	16	20	15	15	1	15	82842454.75461164	0.0003431
20	16	16	1	15	20	15	15	1	14	82842454.75461164	0.0003424
20	16	16	1	17	20	15	15	1	16	101251889.14452533	0.0002325
20	16	16	0	16	20	15	15	0	15	101251889.14452533	0.0002321
20	16	16	1	15	19	17	17	1	16	5398.661097783512	1573000.0
20	16	16	1	16	19	17	17	1	17	5398.661097783512	1571000.0
20	16	16	1	16	19	17	17	1	16	5398.661097783512	2805.0
20	16	16	1	16	19	17	17	0	17	5398.980952100196	1.033e-05
20	16	16	0	16	19	17	17	1	16	5398.341281363136	2640.0
20	16	16	1	17	19	17	17	1	17	5398.341281363136	2640.0
